code:		description:

0000		send 0 on the data bus
0001		send A on the data bus
0010		send B on the data bus
0011		send A+B on the data bus
0100		send -A on the data bus
0101		send -B on the data bus
0110		send A-B on the data bus
0111		send B-A on the data bus
1000		send NOT A on the data bus
1001		send NOT B on the data bus
1010		send A OR B on the data bus
1011		send A AND B on the data bus
1100		send A << 1 on the data bus
1101		send B << 1 on the data bus
1110		send A >> 1 on the data bus
1111		send B >> 1 on the data bus
