"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AND-GATE-A0,AND-GATE-A1,AND-GATE-ADDER0,AND-GATE-ADDER2,AND-GATE-ADDER3,AND-GATE-B0,AND-GATE-B1,AND-GATE-ZERO0,AND-GATE-ZERO1,AND-GATE_ADDER1","CD4081BEE4","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-SFU2/DSASFU100028830.pdf","Package_DIP:DIP-14_W7.62mm","10",""
"C1,C2","~","~","-- mixed values --","2",""
"FLAG-TRANSCEIVER1,RESULT-TRANSCEIVER1","SN74AC245N","http://www.ti.com/lit/gpn/sn74ac245","Package_DIP:DIP-20_W7.62mm","2",""
"IDC-DATA-BUS1,IDC-FLAGS1,IDC-SIGNALS1","DS1013-20SSIB1-B-0","https://www.tme.eu/Document/e9117e1c80532ff2c20cc520b4694ed9/DS1013.pdf","Connector_PinSocket_2.54mm:PinSocket_2x10_P2.54mm_Vertical","3",""
"INTERNAL-SIGNALS-EEPROM1","AT28C64B-15PU","http://www.atmel.com/images/doc0270.pdf","Package_DIP:DIP-28_W15.24mm","1",""
"LED_AL0,LED_AL1,LED_AL2,LED_AL3,LED_AL4,LED_AL5,LED_AL6,LED_AL7,LED_RA0,LED_RA1,LED_RA2,LED_RA3,LED_RA4,LED_RA5,LED_RA6,LED_RA7,LED_RB0,LED_RB1,LED_RB2,LED_RB3,LED_RB4,LED_RB5,LED_RB6,LED_RB7,LED_RF0,LED_RF1,LED_RF2,LED_RF3,LED_RF4,LED_RF5,LED_RF6,LED_RF7","LED","~","LED_THT:LED_D5.0mm_FlatTop","32",""
"MULTIPLEXER0,MULTIPLEXER1,MULTIPLEXER2,MULTIPLEXER3,MULTIPLEXER4,MULTIPLEXER5,MULTIPLEXER6,MULTIPLEXER7","SN74HC151N","https://www.ti.com/lit/gpn/SN74HC151","Package_DIP:DIP-16_W7.62mm","8",""
"OR-GATE-AB0,OR-GATE-AB1,OR-GATE-ADDER0,OR-GATE-ADDER1,OR-GATE-CARRY1","CD4071BEE4","https://www.arrow.com/en/products/cd4071bee4/texas-instruments","Package_DIP:DIP-14_W7.62mm","5",""
"REGISTER-A1,REGISTER-B1,REGISTER-F1","SN74HC574N","http://componentsearchengine.com/Datasheets/1/SN74HC574N.pdf","Package_DIP:DIP-20_W7.62mm","3",""
"R_AL0,R_AL1,R_AL2,R_AL3,R_AL4,R_AL5,R_AL6,R_AL7,R_RA0,R_RA1,R_RA2,R_RA3,R_RA4,R_RA5,R_RA6,R_RA7,R_RB0,R_RB1,R_RB2,R_RB3,R_RB4,R_RB5,R_RB6,R_RB7,R_RF0,R_RF1,R_RF2,R_RF3,R_RF4,R_RF5,R_RF6,R_RF7","R_US","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","32",""
"SUPPLY?","CONN-1x2","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"XOR-GATE-A-OR-B0,XOR-GATE-A-OR-B1,XOR-GATE-A0,XOR-GATE-A1,XOR-GATE-AB0,XOR-GATE-AB1,XOR-GATE-ADDER0,XOR-GATE-ADDER1,XOR-GATE-ADDER2,XOR-GATE-ADDER3,XOR-GATE-B0,XOR-GATE-B1,XOR-GATE-OVERFLOW1","CD4030BEE4","https://www.ti.com/lit/gpn/CD4030B","Package_DIP:DIP-14_W7.62mm","13",""
